objective_value,dual_bound,solution,time,termination,time_limit,thermo_feasible,iter
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,999999.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,999999.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,3.22583,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,3.22583,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,999999.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,-0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,0.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
8.000026597499999e6,8.000026597499999e6,1.0,3602.2268970012665,OPTIMAL,3600,false,343
